batch,heads,n,d,causal,implementation,median_us,min_us,max_us,useful_tflops,max_abs,rmse
1,1,4096,64,True,cute_s2,187.02335357666016,151.52128219604492,188.2931137084961,11.485239115443086,0.0005526542663574219,1.7267926523345523e-05
1,1,4096,64,True,cute_s3,184.94464874267578,148.7667179107666,187.09503173828125,11.614328668620459,0.0005526542663574219,1.7267926523345523e-05
1,1,4096,64,True,official_fa2,193.79999160766602,158.7712001800537,229.44768905639648,11.083632760668461,0.0005526542663574219,1.7339203623123467e-05
1,8,512,64,False,cute_s2,26.112000942230225,26.078081130981445,61.726717948913574,20.56031298358807,0.0001367330551147461,1.980082925001625e-05
1,8,512,64,False,cute_s3,31.201279163360596,31.129601001739502,31.590399742126465,17.20669557132911,0.0001367330551147461,1.980082925001625e-05
1,8,512,64,False,official_fa2,33.853440284729004,33.83296012878418,69.08927917480469,15.858681052341314,0.00015354156494140625,1.9876446458511055e-05
1,8,512,64,True,cute_s2,21.93376064300537,21.811199188232422,22.321600914001465,12.262363412166199,0.0009038448333740234,3.959688183385879e-05
1,8,512,64,True,cute_s3,24.093120098114014,23.992319107055664,25.0982403755188,11.163342186679007,0.0009038448333740234,3.959688183385879e-05
1,8,512,64,True,official_fa2,33.32864046096802,33.27744007110596,69.4271993637085,8.069928454327002,0.0009038448333740234,3.9696780731901526e-05
1,8,2048,64,False,cute_s2,380.6208038330078,378.9209747314453,418.04798126220703,22.568221456882625,8.375942707061768e-05,1.0340040716982912e-05
1,8,2048,64,False,cute_s3,488.6732864379883,449.9046325683594,494.37694549560547,17.578072774579724,8.375942707061768e-05,1.0340040716982912e-05
1,8,2048,64,False,official_fa2,441.1065673828125,402.94078826904297,444.53792572021484,19.473603947830732,7.799267768859863e-05,1.0364910849602893e-05
1,8,2048,64,True,cute_s2,240.82239151000977,205.86496353149414,277.524471282959,17.843292814494756,0.000978231430053711,2.335857971047517e-05
1,8,2048,64,True,cute_s3,283.40991973876953,248.45184326171875,321.2083053588867,15.16201144956669,0.000978231430053711,2.335857971047517e-05
1,8,2048,64,True,official_fa2,258.5702323913574,223.2524871826172,296.2841606140137,16.618558169898705,0.000978231430053711,2.341554318263661e-05
1,8,4096,64,False,cute_s2,1592.40966796875,1541.3247680664062,1631.3037109375,21.577197789704883,6.54458999633789e-05,7.357182767009363e-06
1,8,4096,64,False,cute_s3,1918.0316162109375,1883.9039611816406,1970.5958557128906,17.914062561636758,6.54458999633789e-05,7.357182767009363e-06
1,8,4096,64,False,official_fa2,1562.1632385253906,1548.011474609375,1599.4163513183594,21.994973073642416,6.656348705291748e-05,7.3622700256237295e-06
1,8,4096,64,True,cute_s2,887.2550201416016,851.8450927734375,895.3443145751953,19.367671185740384,0.0011734962463378906,1.7475227650720626e-05
1,8,4096,64,True,cute_s3,1051.0438537597656,1047.8169250488281,1053.644790649414,16.34952093248025,0.0011734962463378906,1.7475227650720626e-05
1,8,4096,64,True,official_fa2,890.6137847900391,856.0230255126953,904.6527862548828,19.294630042191766,0.0011734962463378906,1.7524249415146187e-05
4,8,512,64,False,cute_s2,88.53504180908203,88.30975532531738,126.61760330200195,24.255747827293717,0.00019431114196777344,1.9951445210608654e-05
4,8,512,64,False,cute_s3,147.38431930541992,111.65696144104004,149.93408203125,14.570638573495982,0.00019431114196777344,1.9951445210608654e-05
4,8,512,64,False,official_fa2,130.17087936401367,94.50495719909668,132.79232025146484,16.497419841458655,0.00019431114196777344,2.0040810341015458e-05
4,8,512,64,True,cute_s2,57.85600185394287,57.640957832336426,94.88384246826172,18.595114448384265,0.0010149478912353516,3.99295604438521e-05
4,8,512,64,True,cute_s3,74.8748779296875,74.74080085754395,112.3532772064209,14.368490550465864,0.0010149478912353516,3.99295604438521e-05
4,8,512,64,True,official_fa2,67.05920219421387,66.58048152923584,103.34207534790039,16.043122208406285,0.0010149478912353516,4.005027949460782e-05
4,8,2048,64,False,cute_s2,1612.3391723632812,1581.6499328613281,1712.9267883300781,21.310490346542483,0.00010919570922851562,1.035053537634667e-05
4,8,2048,64,False,cute_s3,1958.623046875,1889.2384338378906,1988.9024353027344,17.542803053819497,0.00010919570922851562,1.035053537634667e-05
4,8,2048,64,False,official_fa2,1566.1772155761719,1550.8668518066406,1657.0364379882812,21.938601855703535,0.00010919570922851562,1.0369318260927685e-05
4,8,2048,64,True,cute_s2,919.8592376708984,831.6006469726562,980.3148651123047,18.68574787107754,0.0012595653533935547,2.335178760404233e-05
4,8,2048,64,True,cute_s3,1101.0253143310547,1038.7945556640625,1156.6886138916016,15.61113769890295,0.0012595653533935547,2.335178760404233e-05
4,8,2048,64,True,official_fa2,863.4982299804688,832.7574157714844,921.4669036865234,19.905376983099057,0.0012595653533935547,2.3407625121762976e-05
